1,"Amazonas","NULL","NULL"
2,"Anzoátegui","NULL","NULL"
3,"Apure","NULL","NULL"
4,"Aragua","NULL","NULL"
5,"Barinas","NULL","NULL"
6,"Bolívar","NULL","NULL"
7,"Carabobo","NULL","NULL"
8,"Cojedes","NULL","NULL"
9,"Delta Amacuro","NULL","NULL"
10,"Falcón","NULL","NULL"
11,"Guárico","NULL","NULL"
12,"Lara","NULL","NULL"
13,"Mérida","NULL","NULL"
14,"Miranda","NULL","NULL"
15,"Monagas","NULL","NULL"
16,"Nueva Esparta","NULL","NULL"
17,"Portuguesa","NULL","NULL"
18,"Sucre","NULL","NULL"
19,"Táchira","NULL","NULL"
20,"Trujillo","NULL","NULL"
21,"La Guaira","NULL","NULL"
22,"Yaracuy","NULL","NULL"
23,"Zulia","NULL","NULL"
24,"Distrito Capital","NULL","NULL"
25,"Dependencias Federales","NULL","NULL"
